사업부구분,대분류,중분류,소분류,2025년연간,25년1월,25년2월,25년3월,25년4월,25년5월,25년6월,25년7월,25년8월,25년9월,25년10월,25년11월,25년12월
공통,IT수수료,시스템 유지보수비용,OA,98825,6218,6218,6218,6218,6218,6218,6218,6218,6218,6218,6217.77,6217.76
공통,IT수수료,OMS,,1254706,43474,43474,43474,57028,57029,57028,57028,61321,0,0,112937.01,91099.94
공통,IT수수료,CN SAP,연간 유지보수비용 (IT),3052824,254402,254402,254402,254402,254402,254402,254402,254402,254402,254402,254402,254402
공통,IT수수료,CN SAP,연간 유지보수비용 (PI),393588,32799,32799,32799,,,,,,,,,
공통,IT수수료,CN SAP,"업그레이드 비용(확장,인터페이스 등)",367230,0,0,15723,16092,23162,33955,39200,0,21617,44780,23162.21,23162.21
공통,IT수수료,Data Server,Ali클라우드,235143,16310,21617,27768,18005,17161,17161,21617,21617,20762,6921,28538.13,29192.99
공통,IT수수료,Data Server,aws클라우드,48118,1559,1559,1559,1559,21601,1559,1559,1559,1559,1559,1558.87,1558.87
공통,IT수수료,Data Server,anchnet서버,73530,5494,5494,5494,5494,5494,5494,6151,6151,6151,6151,6151.07,6920.8
공통,IT수수료,Data Server,읽기쓰기 분리 연사용료,36937,5224,2883,2883,2883,2883,2883,,,0,0,0,
공통,IT수수료,Data Server,NAS유지보수,8491,0,0,,,8491,0,0,0,0,0,0,
공통,IT수수료,보안시스템 (방화벽),보안시스템 (방화벽),246455,0,0,,,,0,0,0,70000,154195,,
공통,IT수수료,보안시스템 (방화벽),공홈 SSL증서,5420,0,2970,,,,0,0,0,0,0,,
공통,IT수수료,온라인 스토어 오픈비용,,360720,9520,0,275600,,,,75000,123875,0,0,,
공통,IT수수료,네트워크&ASDL설치,인터페이스,0,0,0,,,,,,,,,,
공통,IT수수료,네트워크&ASDL설치,사무실 IT설비,100000,0,0,0,,300000,-202000,,,0,0,,
공통,IT수수료,네트워크&ASDL설치,사무실 전기공사 (신규 확장),299490,9949,9949,9949,9949,209949,-190051,9949,9949,9949,9949,,
공통,IT수수료,네트워크&ASDL설치,Office Hardware Upgrade,170037,0,0,0,141325,,,,,0,0,129000,-141324.84
공통,IT수수료,사무실 소프트웨어,Adobe(PS/AI) license,53735,0,0,0,47018,-3655,0,,,0,0,,6193.8
공통,IT수수료,사무실 소프트웨어,MS office,253890,20150,20150,20150,20150,20150,20150,17335,17335,17335,17335,17335,17335
공통,IT수수료,사무실 소프트웨어,POLYCOM 영상통화,28800,0,0,0,,,6170,,9600,0,9410,0,0
공통,IT수수료,사무실 소프트웨어,VPN,128151,11076,10655,10793,10793,10793,10793,10793,10793,10793,10793,10793.2,10931.83
공통,IT수수료,사무실 소프트웨어,ADSL 사용료,57557,0,0,0,,,,57557,,0,0,-3141.51,0
공통,IT수수료,사무실 소프트웨어,ZHIXINGLI APP,113208,9434,9410,9372,9434,9434,9434,,,0,0,0,0
공통,IT수수료,API (인터페이스 관련),,300000,0,0,,,,,,89623,0,0,0,
공통,IT수수료,"OA （AI, 페이퍼리스 등 기능 업그레이드)",,698260,0,0,188679,269516,120925,,,9582,0,9245,0,
