사업부,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
DISCOVERY,0,0,0,0,0,0,0,0,69073.41,780459.28,1546377.8,3118746.29
DUVETICA,3444380.54,2045730.64,1523013.76,1484100.46,1756490.8,1291592.48,1250718.13,910169.54,1121902.68,2033700.96,2563368.03,4438068.58
KIDS,57074776.57,51151791.62,36876911.11,35969013.02,40004608.66,28393665.38,23670871.81,30916481.41,29972283.22,44303927.01,34970476.57,41456626.37
MLB,772449417.4,808064940.7,658021403.6,658492290.2,679145266.8,578677595.9,512070185.3,557970224.6,561753471.6,846299199.3,815823193.1,850756492.2
SUPRA,1758549.29,1723951.14,1206442.31,1249237.07,1077796.01,1030964.95,1183894.93,1086253.89,837933.25,1344367.06,1369733.79,1962335.46
합계,834727123.8,862986414.1,697627770.8,697194640.8,721984162.3,609393818.7,538175670.2,590883129.4,593754664.2,894761653.6,856273149.3,901732268.9
