사업부,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
DISCOVERY,2490966.63,2177010.76,1977043.77,2134276.53,2982528.77,2787183.05,2983712.39,7020646.37,5366055.14,9356392.21,6689754.21,9299192.58
DUVETICA,3421253.09,1722309.97,1131759.82,1515722.29,836516.09,449948.84,395538.9,219743.31,112540.29,824528.3,1911111.42,1097286.83
KIDS,66666619.32,20261131.58,33159432.01,31702491.6,35207540.58,22754356.16,22542637.57,31192417.01,25908394.14,44511461.19,32696514.75,34397480.8
MLB,1103377057,534169507.2,663832548.8,649877479.6,719632361.4,552104329.4,521452172.1,588424885.3,551628227.7,894867988.2,804211750.6,792602129.7
SUPRA,1834488.03,818779.07,324785.13,469241.26,418741.58,287728.9467,483453.5,573012.25,261332.55,275096.79,682640.34,170751.34
합계,1177790384,559148738.6,700425569.5,685699211.2,759077688.4,578383546.4,547857514.5,627430704.2,583276549.9,949835466.7,846191771.3,837566841.3
