사업부,사업부(소분류),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,경영지원,72,,,,,,,,,,,
MLB,MLB,129,,,,,,,,,,,
KIDS,KIDS,23,,,,,,,,,,,
DISCOVERY,DISCOVERY,31,,,,,,,,,,,
합계,,255,,,,,,,,,,,
