사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 , 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
DISCOVERY,commission,INT,VMD,DISCOVERY,지급수수료,인테리어 개발,VMD 개발,"234,000","40,000", - , - ,"43,500", - ,"20,000","43,500", - ,"43,500", - ,"40,000","3,500"
共同,commission,HR,直营店招聘,공통,지급수수료,인사,직영매장 채용비,"50,004","4,167","4,167","4,167","4,167","4,167","4,167","4,167","4,167","4,167","4,167","4,167","4,167"
共同,commission,HR,办公室招聘,공통,지급수수료,인사,사무실 직원 채용비,"800,000","37,446","70,000","92,554", - , - ,"200,000", - , - ,"200,000", - , - ,"200,000"
共同,commission,HR,咨询服务费,공통,지급수수료,인사,컨설팅 비용,"41,981", - , - , - , - , - , - , - ,"41,981", - , - , - , - 
共同,commission,HR,残保金服务费,공통,지급수수료,인사,장애인 서비스 비용,"57,660","4,805","4,805","4,805","4,805","4,805","4,805","4,805","4,805","4,805","4,805","4,805","4,805"
共同,commission,HR,HR Platinum 系统,공통,지급수수료,인사,HR Platinum 시스템,"40,500","3,375","3,375","3,375","3,375","3,375","3,375","3,375","3,375","3,375","3,375","3,375","3,375"
共同,commission,财务,审计-季度,공통,지급수수료,재무,감사비,"780,000", - , - ,"195,000", - , - ,"195,000", - , - ,"195,000", - , - ,"195,000"
共同,commission,财务,APA,공통,지급수수료,재무,APA,0, - , - , - , - , - , - , - , - , - , - , - , - 
共同,commission,财务,Tax,공통,지급수수료,재무,Tax,"120,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
共同,commission,财务,SAP 维护费,공통,지급수수료,재무,SAP 유지보수 비용,"420,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000","35,000"
共同,commission,财务,G3 Service,공통,지급수수료,재무,G3 연간 유지보수 비용,"3,000","3,000", - , - , - , - , - , - , - , - , - , - , - 
共同,commission,财务,Document Translator,공통,지급수수료,재무,계약서번역,"80,000", - , - ,"20,000","20,000","20,000","20,000", - , - , - , - , - , - 
共同,commission,财务,审计-销毁相关,공통,지급수수료,재무,폐기 관련 감사비용,"30,000", - , - , - , - , - ,"15,000", - , - , - , - ,"15,000", - 
共同,commission,财务,Tax-销毁相关税务,공통,지급수수료,재무,폐기관련 세무 컨설팅 비용,"400,000","33,333","33,333","33,333","33,333","33,333","33,333","33,333","33,333","33,333","33,333","33,333","33,337"
共同,commission,财务,IC相关,공통,지급수수료,재무,내부회계 감사비용,"230,000", - , - , - , - ,"28,750","28,750","28,750","28,750","28,750","28,750","28,750","28,750"
共同,commission,法务,法律顾问,공통,지급수수료,법무,법무 컨설팅 비용,"103,776","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648"
共同,commission,法务,线上监测服务,공통,지급수수료,법무,온라인 감시 비용,"114,965","6,472","9,863","9,863","9,863","9,863","9,863","9,863","9,863","9,863","9,863","9,863","9,863"
共同,commission,法务,样品采买-假货,공통,지급수수료,법무,샘플 구매,"1,063,884","103,657","73,657","88,657","88,657","88,657","88,657","88,657","88,657","88,657","88,657","88,657","88,657"
共同,commission,法务,资料费,공통,지급수수료,법무,"증명서 발급비용(증명서, 번역)","4,000", - , - , - , - , - ,"2,000", - , - , - , - , - ,"2,000"
共同,commission,法务,Wolters Kluwer 信息库,공통,지급수수료,법무,Wolters Kluwer 법률정보 데이터베이스,"22,698", - , - , - , - , - ,"22,698", - , - , - , - , - , - 
共同,commission,法务,商标费,공통,지급수수료,법무,상표권,0,,,,,,,,,,,,
共同,commission,Supply Chain,QA Service,공통,지급수수료,Supply Chain,QA 서비스,"73,791","5,920","8,671","5,920","5,920","5,920","5,920","5,920","5,920","5,920","5,920","5,920","5,920"
共同,commission,Supply Chain,RFID Service,공통,지급수수료,Supply Chain,RFID 서비스,"153,144","10,267","10,267","10,267","10,267","10,267","10,267","10,267","10,267","10,267","10,267","10,267","40,207"
共同,commission,Supply Chain,销毁服务,공통,지급수수료,Supply Chain,재고소각비용,"153,140", - , - , - ,"103,140", - , - , - , - , - , - ,"50,000", - 
共同,commission,Supply Chain,AI project,공통,지급수수료,Supply Chain,AI 프로젝트,"58,750", - , - , - ,"29,375", - , - , - , - ,"29,375", - , - , - 
共同,commission,Supply Chain,QA Service,공통,지급수수료,Supply Chain,QA 서비스,0, - , - , - , - , - , - , - , - , - , - , - , - 
共同,commission,Supply Chain,VAS-Repair,공통,지급수수료,Supply Chain,VAS 수리비용,"1,024,198","69,861","149,739","213,932","-67,628","22,338","-54,329","183,843","142,309","170,736","-87,372","260,903","19,866"
共同,commission,Office Service,Office Maintain,공통,지급수수료,Office Service,사무실 유지보수,"23,400",700,700,700,"7,200",700,700,700,"3,200",700,"2,700","2,700","2,700"
共同,commission,Office Service,Seasonal Clean,공통,지급수수료,Office Service,시즌 클리닝,"44,000","11,000", - , - , - ,"11,000", - ,"11,000", - , - ,"11,000", - , - 
共同,IT手续费,系统维护费,BOS(直营),공통,IT수수료,시스템 유지보수비용,BOS(직영),"316,534","18,868","18,868","18,868","66,038","18,868","18,868","26,026","26,026","26,026","26,026","26,026","26,026"
共同,IT手续费,系统维护费,BOS(代理商),공통,IT수수료,시스템 유지보수비용,BOS(대리상),"47,170", - , - , - ,"47,170", - , - , - , - , - , - , - , - 
共同,IT手续费,系统维护费,BI,공통,IT수수료,시스템 유지보수비용,BI,"24,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000"
共同,IT手续费,系统维护费,OA,공통,IT수수료,시스템 유지보수비용,OA,"104,176","6,218","6,218","6,218","6,218","9,913","9,913","9,913","9,913","9,913","9,913","9,913","9,913"
共同,IT手续费,OMS,Old,공통,IT수수료,OMS,Old,"166,077","55,359","55,359","55,359", - , - , - , - , - , - , - , - , - 
共同,IT手续费,OMS,New,공통,IT수수료,OMS,New,"1,113,731","46,659","46,659","46,659","83,482","83,988","83,988","83,988","83,988","182,080","180,072","96,084","96,084"
共同,IT手续费,CN SAP,维护费 (IT),공통,IT수수료,CN SAP,연간 유지보수비용 (IT),"3,375,314","254,402","254,402","286,651","286,651","286,651","286,651","286,651","286,651","286,651","286,651","286,651","286,651"
共同,IT手续费,CN SAP,维护费 (PI),공통,IT수수료,CN SAP,연간 유지보수비용 (PI),"69,486","23,162","23,162","23,162", - , - , - , - , - , - , - , - , - 
共同,IT手续费,CN SAP,upgrade,공통,IT수수료,CN SAP,"업그레이드 비용(확장,인터페이스 등)","390,242", - ,"79,766","79,766","79,766","75,472","75,472", - , - , - , - , - , - 
共同,IT手续费,Data Server,阿里云,공통,IT수수료,Data Server,Ali클라우드,"578,110","36,375","36,375","50,536","50,536","50,536","50,536","50,536","50,536","50,536","50,536","50,536","50,536"
共同,IT手续费,Data Server,AWS云,공통,IT수수료,Data Server,aws클라우드,"119,188","1,599","1,599","51,599","1,599","1,599","1,599","1,599","51,599","1,599","1,599","1,599","1,599"
共同,IT手续费,Data Server,安畅,공통,IT수수료,Data Server,anchnet서버,"75,594","6,151","6,151","6,151","6,151","6,151","6,151","6,448","6,448","6,448","6,448","6,448","6,448"
共同,IT手续费,Data Server,读写分离,공통,IT수수료,Data Server,읽기쓰기 분리 연사용료,0,,,,,,,,,,,,
共同,IT手续费,Data Server,NAS维保,공통,IT수수료,Data Server,NAS유지보수,"8,491",,,,,"8,491",,,,,,,
共同,IT手续费,Anti-virus Wall,防火墙服务,공통,IT수수료,보안시스템 (방화벽),보안시스템 (방화벽),"183,846", - , - , - , - , - , - , - , - ,"183,846", - , - , - 
共同,IT手续费,Anti-virus Wall,官网SSL证书,공통,IT수수료,보안시스템 (방화벽),공홈 SSL증서,"7,547", - ,"7,547", - , - , - , - , - , - , - , - , - , - 
共同,IT手续费,Office Hardware&Construction,新仓系统对接,공통,IT수수료,네트워크&ASDL설치,인터페이스,0,,,,,,,,,,,,
共同,IT手续费,Office Hardware&Construction,办公室IT装修,공통,IT수수료,네트워크&ASDL설치,사무실 IT설비,0,,,,,,,,,,,,
共同,IT手续费,Office Hardware&Construction,办公室弱电工程,공통,IT수수료,네트워크&ASDL설치,사무실 전기공사,0,,,,,,,,,,,,
共同,IT手续费,Office Hardware&Construction,Office Hardware Upgrade,공통,IT수수료,네트워크&ASDL설치,Office Hardware Upgrade,0,,,,,,,,,,,,
共同,IT手续费,Office Software,Adobe(PS/AI) license,공통,IT수수료,사무실 소프트웨어,Adobe(PS/AI) license,"72,642", - , - , - ,"72,642", - , - , - , - , - , - , - , - 
共同,IT手续费,Office Software,MS office,공통,IT수수료,사무실 소프트웨어,MS office,"208,020","17,335","17,335","17,335","17,335","17,335","17,335","17,335","17,335","17,335","17,335","17,335","17,335"
共同,IT手续费,Office Software,POLYCOM视频专线,공통,IT수수료,사무실 소프트웨어,POLYCOM 영상통화,"36,227", - , - , - , - ,"9,057","27,170", - , - , - , - , - , - 
共同,IT手续费,Office Software,VPN,공통,IT수수료,사무실 소프트웨어,VPN,"130,864","10,377","10,377","10,377","10,377","10,377","10,377","10,377","10,377","10,377","10,377","10,377","16,717"
共同,IT手续费,Office Software,ADSL 使用费,공통,IT수수료,사무실 소프트웨어,ADSL 사용료,"54,411", - , - , - , - , - , - , - , - ,"15,009","39,402", - , - 
共同,IT手续费,Office Software,ZHIXINGLI APP,공통,IT수수료,사무실 소프트웨어,ZHIXINGLI APP,0,,,,,,,,,,,,
共同,IT手续费,API,,공통,IT수수료,API (인터페이스 관련),,0, - , - , - , - , - , - , - , - , - , - , - , - 
共同,IT手续费,OA,,공통,IT수수료,OA(AI기능/자동화도입),,"346,510", - , - ,"80,975","80,975","80,975","47,170","47,170","9,245", - , - , - , - 
共同,IT手续费,E-Commerce,DX 竞品数据购买,공통,IT수수료,온라인플랫폼 서비스 비용,DX 경쟁상품 데이터 구매,0,,,,,,,,,,,,
共同,IT手续费,AI & 识别系统,,공통,IT수수료,AI식별시스템,,"1,188,112","56,476","56,476","56,476","56,476","81,876","81,876","183,076","183,076","183,076","83,076","83,076","83,076"
共同,IT手续费,Snowflake,,공통,IT수수료,Snowflake,,"396,228", - ,"94,340","94,340","113,208","94,340", - , - , - , - , - , - , - 
共同,IT手续费,搬仓相关 interface,,공통,IT수수료,창고이전 후 인터페이스,,0,,,,,,,,,,,,
共同,IT手续费,维保(New),,공통,IT수수료,유지보수 (New),,"60,848", - , - , - ,"5,503","5,503","5,503","5,503","5,503","16,824","5,503","5,503","5,503"
共同,IT手续费,RMS,,공통,IT수수료,RMS 반품 개발 시스템,,"99,999", - , - , - ,"33,333","33,333","33,333", - , - , - , - , - , - 
共同,IT手续费,数据收集许可,,공통,IT수수료,데이터 수집 허가비용,,"330,187", - , - ,"44,811", - , - ,"44,811", - , - ,"44,811", - ,"150,943","44,811"
共同,IT手续费,混合云架构优化,,공통,IT수수료,하이브리드 클라우드 아키텍처 최적화,,0,,,,,,,,,,,,
共同,IT手续费,信息安全审计，备案合规，异地备份（云安全巡检）,,공통,IT수수료,"정보보안 감사, 원격 백업서비스",,"191,827", - , - ,"12,579","12,579","12,579","12,579","78,616","12,579","12,579","12,579","12,579","12,579"
共同,IT手续费,E-Commerce,数据采买&运营,공통,IT수수료,온라인플랫폼 서비스 비용,데이터 구매&운영,"1,690,712","26,113","205,452","191,113","26,113","205,452","191,113","26,113","205,452","191,113","26,113","205,452","191,113"
共同,IT手续费,E-Commerce,潮流数据采买,공통,IT수수료,온라인플랫폼 서비스 비용,트랜드 데이터 구매,"71,172","5,931","5,931","5,931","5,931","5,931","5,931","5,931","5,931","5,931","5,931","5,931","5,931"
共同,IT手续费,E-Commerce,CRM(New Provider),공통,IT수수료,온라인플랫폼 서비스 비용,CRM(New Provider),"1,085,104","82,092","82,092","82,092","132,092","82,092","82,092","82,092","82,092","132,092","82,092","82,092","82,092"
共同,commission,盘点服务费,,공통,지급수수료,재고실사 서비스비용,,"980,000", - ,700000, - , - , - ,"15,000", - , - , - , - ,"15,000","250,000"
共同,commission,高尔夫会员更换费,,공통,지급수수료,골프 회원 연회비,,"5,000", - ,"5,000", - , - , - , - , - , - , - , - , - , - 
共同,commission,零售培训软件服务,,공통,지급수수료,리테일 교육 소프트웨어,,"213,480","17,790","17,790","17,790","17,790","17,790","17,790","17,790","17,790","17,790","17,790","17,790","17,790"
共同,commission,保险服务,D&O,공통,지급수수료,보험비,임원배상책임보험,"113,352","9,446","9,446","9,446","9,446","9,446","9,446","9,446","9,446","9,446","9,446","9,446","9,446"
共同,commission,保险服务,员工商业保险,공통,지급수수료,보험비,임직원상업보험,"638,320",,,,,"638,320",,,,,,,
共同,commission,市场监测服务费,,공통,지급수수료,매장 DP점검 외주용역,,"515,579", - ,"82,836", - ,"86,594", - ,"118,302","75,850","70,214", - , - , - ,"81,783"
