사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 , 26년1월 , 26년2월 , 26년3월 , 26년4월 , 26년5월 , 26년6월 , 26년7월 , 26년8월 , 26년9월 , 26년10월 , 26년11월 , 26년12월 
共同,福利费,员工推荐,,공통,복리후생비,인력 지인추천,,"24,000", - , - ,"6,000", - , - ,"6,000", - , - ,"6,000", - , - ,"6,000"
共同,福利费,残保金,,공통,복리후생비,장애인고용 미달비용,,0,,,,,,,,,,,,
共同,福利费,周年旅游福利,,공통,복리후생비,장기근속,,"739,000","184,750", - , - ,"184,750", - , - ,"184,750", - , - ,"184,750", - , - 
共同,福利费,Outing,,공통,복리후생비,워크샵,,"496,000", - , - , - , - ,"256,000", - , - , - , - ,"240,000", - , - 
共同,福利费,KR Staff Benefits,机票福利,공통,복리후생비,주재원지원금,항공권,"537,300","16,600","126,500", - , - ,"143,100", - , - ,"108,000", - , - , - ,"143,100"
共同,福利费,KR Staff Benefits,子女教育费,공통,복리후생비,주재원지원금,자녀교육비,"1,371,542","126,386","126,386","126,386","126,386","126,386","72,554","54,254","89,808","130,749","130,749","130,749","130,749"
共同,福利费,KR Staff Benefits,租金，管理费,공통,복리후생비,주재원지원금,주택임차료 (관리비포함),"2,497,080","208,090","208,090","208,090","208,090","208,090","208,090","208,090","208,090","208,090","208,090","208,090","208,090"
共同,福利费,KR Staff Benefits,其他生活支出（水电&ADSL&phone）,공통,복리후생비,주재원지원금,"전기,수도,통신비 등","137,000","12,250","12,250","10,250","10,250","10,250","12,250","12,250","12,250","10,250","10,250","12,250","12,250"
共同,福利费,KR Staff Benefits,锻炼费,공통,복리후생비,주재원지원금,자기개발비(훈련비),"180,000","9,000", - ,"36,000", - , - ,"45,000", - , - ,"45,000", - , - ,"45,000"
共同,福利费,KR Staff Benefits,体检&保险,공통,복리후생비,주재원지원금,건강검진&보험,"265,081", - , - , - , - , - , - ,"233,166","31,915", - , - , - , - 
