사업부,사업부(소분류),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,경영지원,73,72,72,72,72,71,72,72,72,71,72,72
MLB,MLB,133,133,132,133,132,130,132,128,127,128,128,128
KIDS,KIDS,24,25,25,27,26,27,25,26,25,25,24,24
DISCOVERY,DISCOVERY,22,22,23,28,19,20,25,26,26,26,29,31
합계,,252,252,252,260,249,248,254,252,250,250,253,255
