사업부구분(중국어),대분류(중국어),중분류(중국어),소분류(중국어),사업부구분,대분류,중분류,소분류, 2026년 연간 ,조정,조정후 예산,,,
KIDS,广告费,Product,,KIDS,광고비,Product,,"515,000",,"515,000",,,
DISCOVERY,广告费,Campaign,,DISCOVERY,광고비,CAMPAIGN,,"26,296,429","6,796,694","33,093,123",,,
DISCOVERY,广告费,Branding,,DISCOVERY,광고비,Branding,,"6,206,000",,"6,206,000",,,
DISCOVERY,广告费,Retailing,,DISCOVERY,광고비,Retailing,,"1,687,640",,"1,687,640",,,
DISCOVERY,广告费,Product,,DISCOVERY,광고비,Product,,"800,000",,"800,000",,,
MLB,订货会,MLB,FW,MLB,수주회,MLB,FW,"6,200,000","3,607,953","9,807,953",,,
MLB,订货会,MLB,SS,MLB,수주회,MLB,SS,"7,258,868",,"7,258,868",,,
KIDS,订货会,KIDS,FW,KIDS,수주회,KIDS,FW,"360,000","510,799","870,799",,,
KIDS,订货会,KIDS,SS,KIDS,수주회,KIDS,SS,"512,000",,"512,000",,,
DISCOVERY,订货会,DISCOVERY,FW,DISCOVERY,수주회,DISCOVERY,FW,"700,000","-36,416","663,584",,,
DISCOVERY,订货会,DISCOVERY,SS,DISCOVERY,수주회,DISCOVERY,SS,"700,000",,"700,000",,,
MLB,折旧费,MLB,固定资产折旧费,MLB,감가상각비,MLB,유형자산 감가상각비,"930,071",,"930,071",,,
KIDS,折旧费,KIDS,固定资产折旧费,KIDS,감가상각비,KIDS,유형자산 감가상각비,0,,,,,
DISCOVERY,折旧费,DISCOVERY,固定资产折旧费,DISCOVERY,감가상각비,DISCOVERY,유형자산 감가상각비,0,,,,,
MLB,折旧费,MLB,无形资产折旧费,MLB,감가상각비,MLB,무형자산 상각비,"2,031,648","131,180","2,162,828",,,
KIDS,折旧费,KIDS,无形资产折旧费,KIDS,감가상각비,KIDS,무형자산 상각비,0,,,,,
DISCOVERY,折旧费,DISCOVERY,无形资产折旧费,DISCOVERY,감가상각비,DISCOVERY,무형자산 상각비,0,,,,,
MLB,折旧费,MLB,装修折旧费,MLB,감가상각비,MLB,인테리어 상각비,"1,518,648",,"1,518,648",,,
