사업부,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
DISCOVERY,8914239.49,6145486.7,4443033.91,3818025.28,4874849.5,3260953.45,3699625.02,4250243.56,1096852.53,,,
KIDS,45637210.72,44490837.996,25337665.8291,28835572.81,31896800.08,23859257.69,18906896.88,26132632.452,10025944.0728,,,
MLB,901909063.7677,1028934847.1873,645885655.8206,658195535.5148,724367949.0756,533195186.73,487805689.8467,577401000.2516,217802543.88,,,
합계,956460513.9777,1079571171.8833,675666355.5597,690849133.6048,761139598.6556001,560315397.87,510412211.7467,607783876.2636,228925340.4828,,,
