사업부,사업부(소분류),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
MLB,경영지원,73,73,75,73,73,74,72,72,71,71,70,71
MLB,MLB,127,124,125,125,125,122,121,131,133,135,133,132
KIDS,KIDS,21,21,20,21,20,20,20,23,24,26,25,25
DISCOVERY,DISCOVERY, - , - , - , - , - , - , - ,10,10,12,18,18
DUVETICA,DUVETICA,15,15,15,15,14,14,14, - , - , - , - , - 
SUPRA,SUPRA,9,9,7,7,7,7,7,6,5,5,5,3
합계,,245,242,242,241,239,237,234,242,243,249,251,249
